name,price,url,image_url,image_path,category,pet_type
Taste of the Wild Wetlands Grain Free Adult Dry Dog Food - Roasted Fowl,2250.00,https://headsupfortails.com/products/taste-of-the-wild-adult-dry-dog-food-grain-free-wetlands-with-roasted-fowl,https://cdn.shopify.com/s/files/1/0086/0795/7054/products/TasteoftheWildWetlandsGrainFreeAdultDryDogFood-RoastedFowl.jpg?v=1681970107,dog_food_images\Taste_of_the_Wild_Wetlands_Grain_Free_Adult_Dry_Do.jpg,Dry Food,Dog
Royal Canin Shih Tzu Adult Dry Dog Food,598.00,https://headsupfortails.com/products/royal-canin-shih-tzu-adult-dog-food-available-in-multiple-sizes,https://cdn.shopify.com/s/files/1/0086/0795/7054/products/ShihTzuAdult-1.png?v=1743273626,dog_food_images\Royal_Canin_Shih_Tzu_Adult_Dry_Dog_Food.png,Dry Food,Dog
Farmina N&D Ancestral Grain Medium & Maxi Breed Adult Dry Dog Food - Chicken & Pomegranate,2189.60,https://headsupfortails.com/products/farmina-n-d-low-grain-chicken-pomegranate-adult-medium-breed-dog-food,https://cdn.shopify.com/s/files/1/0086/0795/7054/products/FarminaN_DLowGrainMedium_MaxiBreedAdultDryDogFood-Chicken_Pomegranate-3.jpg?v=1743766526,dog_food_images\Farmina_N_D_Ancestral_Grain_Medium___Maxi_Breed_Ad.jpg,Dry Food,Dog
Royal Canin Golden Retriever Adult Dry Dog Food,2736.80,https://headsupfortails.com/products/royal-canin-golden-retriever-adult-dog-food-available-in-multiple-sizes,https://cdn.shopify.com/s/files/1/0086/0795/7054/files/GoldenRetrieverAdult-1_c6168c41-32bf-4b6c-8e8b-4cac6bc80c96.png?v=1743273579,dog_food_images\Royal_Canin_Golden_Retriever_Adult_Dry_Dog_Food.png,Dry Food,Dog
Farmina N&D Pumpkin Lamb & Blueberry Grain Free Medium & Maxi Breed Adult Dry Dog Food,2714.00,https://headsupfortails.com/products/farmina-n-d-grain-free-lamb-blueberry-adult-medium-maxi-breed-dog-food-available-in-multiple-sizes,https://cdn.shopify.com/s/files/1/0086/0795/7054/products/FARMIN_1_c7b574eb-2237-4848-b320-c73e5f6e53d2.jpg?v=1743766512,dog_food_images\Farmina_N_D_Pumpkin_Lamb___Blueberry_Grain_Free_Me.jpg,Dry Food,Dog
Royal Canin Rottweiler Adult Dry Dog Food,2702.00,https://headsupfortails.com/products/royal-canin-rottweiler-adult-dry-dog-food,https://cdn.shopify.com/s/files/1/0086/0795/7054/products/RottweilerAdult-1.png?v=1743273585,dog_food_images\Royal_Canin_Rottweiler_Adult_Dry_Dog_Food.png,Dry Food,Dog
Royal Canin Giant Junior Dry Dog Food,2992.00,https://headsupfortails.com/products/royal-canin-giant-junior-dry-dog-food,https://cdn.shopify.com/s/files/1/0086/0795/7054/files/3182550880831_01.jpg?v=1743273617,dog_food_images\Royal_Canin_Giant_Junior_Dry_Dog_Food.jpg,Dry Food,Dog
Vitapol Economic Food For Hamster - 1.2 kg,462.69,https://headsupfortails.com/products/vitapol-economic-food-for-hamster-1200-gms,https://cdn.shopify.com/s/files/1/0086/0795/7054/products/ZVP-0116_Economic_chomik_2013kopia.jpg?v=1654582770,dog_food_images\Vitapol_Economic_Food_For_Hamster___1_2_kg.jpg,Dry Food,Dog
Royal Canin Pug Adult Dry Dog Food,552.00,https://headsupfortails.com/products/royal-canin-pug-adult-dog-food-available-in-multiple-sizes,https://cdn.shopify.com/s/files/1/0086/0795/7054/products/PugAdult-1.png?v=1743273589,dog_food_images\Royal_Canin_Pug_Adult_Dry_Dog_Food.png,Dry Food,Dog
Farmina N&D Ocean COD Pumpkin& Cantaloupe Melon Grain Free Puppy Dry Food - Mini Breed,1030.40,https://headsupfortails.com/products/farmina-n-d-ocean-cod-pumpkin-cantaloupe-melon-grain-free-puppy-dry-food-mini-breed-800g,https://cdn.shopify.com/s/files/1/0086/0795/7054/products/FarminaN_DOceanCODPumpkin_CantaloupeMelonGrainFreePuppyDryFood-MiniBreed_731fe5d2-dba6-4955-a068-3bb2725ca52a.jpg?v=1743766440,dog_food_images\Farmina_N_D_Ocean_COD_Pumpkin__Cantaloupe_Melon_Gr.jpg,Dry Food,Dog
Royal Canin Cocker Adult Dry Dog Food,2745.60,https://headsupfortails.com/products/royal-canin-cocker-adult-dry-dog-food,https://cdn.shopify.com/s/files/1/0086/0795/7054/products/CockerAdult-1_8278830a-97a5-4e30-9810-640228c18bc8.png?v=1743273581,dog_food_images\Royal_Canin_Cocker_Adult_Dry_Dog_Food.png,Dry Food,Dog
Taste of the Wild Sierra Mountain Canine Recipe Grain Free Dry Dog Food - Roasted Lamb,2250.00,https://headsupfortails.com/products/taste-of-the-wild-dry-dog-food-grain-free-sierra-mountain-with-roasted-lamb,https://cdn.shopify.com/s/files/1/0086/0795/7054/products/TasteoftheWildSierraMountainCanineRecipeGrainFreeDryDogFood-RoastedLamb.jpg?v=1681970074,dog_food_images\Taste_of_the_Wild_Sierra_Mountain_Canine_Recipe_Gr.jpg,Dry Food,Dog
Royal Canin Beagle Adult Dry Dog Food,2710.40,https://headsupfortails.com/products/royal-canin-beagle-adult-dry-dog-food,https://cdn.shopify.com/s/files/1/0086/0795/7054/products/BeagleAdult-1.png?v=1743273552,dog_food_images\Royal_Canin_Beagle_Adult_Dry_Dog_Food.png,Dry Food,Dog
Royal Canin Golden Retriever Puppy Dry Dog Food,1012.00,https://headsupfortails.com/products/royal-canin-golden-retriever-puppy-dry-dog-food,https://cdn.shopify.com/s/files/1/0086/0795/7054/files/GoldenRetrieverPuppy-1_902d4842-f3db-416b-b603-08e378c950b1.png?v=1743273583,dog_food_images\Royal_Canin_Golden_Retriever_Puppy_Dry_Dog_Food.png,Dry Food,Dog
Farmina Team Breeder Top Adult Dry Dog Food - 20 kg,9495.00,https://headsupfortails.com/products/farmina-team-breeder-top-adult-dog-food-20-kgs,https://cdn.shopify.com/s/files/1/0086/0795/7054/products/FarminaTeamBreederTopAdultDryDogFood-20kg_e2cde53d-9224-4fc4-8034-017d8fdb1757.jpg?v=1743766482,dog_food_images\Farmina_Team_Breeder_Top_Adult_Dry_Dog_Food___20_k.jpg,Dry Food,Dog
Royal Canin Veterinary Gastrointestinal Dry Food For Dog - 2 Kg,2600.00,https://headsupfortails.com/products/royal-canin-v-diet-gastro-intestinal-support-dry-dog-food-available-in-multiple-sizes,https://cdn.shopify.com/s/files/1/0086/0795/7054/files/Gastrointestinal-7copy.jpg?v=1743273590,dog_food_images\Royal_Canin_Veterinary_Gastrointestinal_Dry_Food_F.jpg,Dry Food,Dog
Pedigree Best Of Both Combo For Adult Dogs - Pack of 2,944.10,https://headsupfortails.com/products/pedigree-best-of-both-combo-for-adult-dogs,https://cdn.shopify.com/s/files/1/0086/0795/7054/files/HUFTCB0855.jpg?v=1744608554,dog_food_images\Pedigree_Best_Of_Both_Combo_For_Adult_Dogs___Pack_.jpg,Dry Food,Dog
Royal Canin Maxi Dry Food & Chicken Liver With Turmeric Treats For Puppy,3651.12,https://headsupfortails.com/products/royal-canin-maxi-dry-food-chicken-liver-with-turmeric-treats-for-puppy,https://cdn.shopify.com/s/files/1/0086/0795/7054/files/HUFTCB1071.jpg?v=1743273410,dog_food_images\Royal_Canin_Maxi_Dry_Food___Chicken_Liver_With_Tur.jpg,Dry Food,Dog
Chappi Chicken & Milk Dry Puppy Food,508.25,https://headsupfortails.com/products/chappi-puppy-dry-dog-food-chicken-and-milk,https://cdn.shopify.com/s/files/1/0086/0795/7054/files/ChappiChicken_MilkDryPuppyFood.jpg?v=1700206143,dog_food_images\Chappi_Chicken___Milk_Dry_Puppy_Food.jpg,Dry Food,Dog
Royal Canin Giant Starter Dry Dog Food,993.60,https://headsupfortails.com/products/royal-canin-giant-starter-dry-dog-food,https://cdn.shopify.com/s/files/1/0086/0795/7054/files/3182550778817_01.jpg?v=1743273567,dog_food_images\Royal_Canin_Giant_Starter_Dry_Dog_Food.jpg,Dry Food,Dog
Royal Canin Labrador Retriever Puppy Dry Dog Food,1030.00,https://headsupfortails.com/products/royal-canin-labrador-retriever-puppy-dry-dog-food,https://cdn.shopify.com/s/files/1/0086/0795/7054/products/LabradorRetrieverPuppy-1.png?v=1743273602,dog_food_images\Royal_Canin_Labrador_Retriever_Puppy_Dry_Dog_Food.png,Dry Food,Dog
Orijen Six Fish Grain Free Dry Dog Food (All Breeds & Ages),599.00,https://headsupfortails.com/products/orijen-six-fish-adult-dog-food-available-in-multiple-sizes,https://cdn.shopify.com/s/files/1/0086/0795/7054/products/OrijenSixFish_500x_1c416dac-8e79-4d30-8abe-0951e5c2923e.jpg?v=1670907687,dog_food_images\Orijen_Six_Fish_Grain_Free_Dry_Dog_Food__All_Breed.jpg,Dry Food,Dog
Signature Grain Zero Starter Food For Mother & Puppy - All Breed Formula,690.00,https://headsupfortails.com/products/signature-grain-zero-starter-food-for-mother-puppy-all-breed-formula,https://cdn.shopify.com/s/files/1/0086/0795/7054/files/Starter-GrainZero-1-2kg-Front-2.jpg?v=1690200562,dog_food_images\Signature_Grain_Zero_Starter_Food_For_Mother___Pup.jpg,Dry Food,Dog
Orijen Grain Free Large Breed Dry Puppy Food,7299.00,https://headsupfortails.com/products/orijen-large-breed-puppy-food-available-in-multiple-sizes,https://cdn.shopify.com/s/files/1/0086/0795/7054/files/064992181123-3.jpg?v=1705915781,dog_food_images\Orijen_Grain_Free_Large_Breed_Dry_Puppy_Food.jpg,Dry Food,Dog
Pedigree Meat & Milk Puppy Dry Puppy Food,714.40,https://headsupfortails.com/products/pedigree-puppy-dry-dog-food-food-meat-milk-20kg-pack,https://cdn.shopify.com/s/files/1/0086/0795/7054/files/1_9a04e4f2-48ab-4c08-9e88-11af7da90b7d.jpg?v=1744608826,dog_food_images\Pedigree_Meat___Milk_Puppy_Dry_Puppy_Food.jpg,Dry Food,Dog
Drools Focus Puppy Super Premium Dry Puppy Food,604.00,https://headsupfortails.com/products/drools-focus-puppy-super-premium-dry-dog-food,https://cdn.shopify.com/s/files/1/0086/0795/7054/products/8906043142047_1.jpg?v=1655529730,dog_food_images\Drools_Focus_Puppy_Super_Premium_Dry_Puppy_Food.jpg,Dry Food,Dog
Purepet Chicken & Vegetables Dry Food For Puppy,199.00,https://headsupfortails.com/products/purepet-chicken-veg-puppy-dry-dog-food,https://cdn.shopify.com/s/files/1/0086/0795/7054/products/8906043142689.jpg?v=1657627982,dog_food_images\Purepet_Chicken___Vegetables_Dry_Food_For_Puppy.jpg,Dry Food,Dog
Drools Focus Adult Super Premium Dry Dog Food,540.00,https://headsupfortails.com/products/drools-focus-adult-super-premium-dog-food,https://cdn.shopify.com/s/files/1/0086/0795/7054/products/8906043142078_1.jpg?v=1655467569,dog_food_images\Drools_Focus_Adult_Super_Premium_Dry_Dog_Food.jpg,Dry Food,Dog
Drools Chicken and Egg Dry Food For Puppy,238.00,https://headsupfortails.com/products/drools-chicken-and-egg-puppy-food,https://cdn.shopify.com/s/files/1/0086/0795/7054/files/8906125483976.jpg?v=1714641951,dog_food_images\Drools_Chicken_and_Egg_Dry_Food_For_Puppy.jpg,Dry Food,Dog
Acana Wild Coast Fish Formula Dry Dog Food (All Breeds & Ages),399.00,https://headsupfortails.com/products/acana-wild-coast-dog-food-available-in-multiple-sizes,https://cdn.shopify.com/s/files/1/0086/0795/7054/files/064992562120.jpg?v=1705908382,dog_food_images\Acana_Wild_Coast_Fish_Formula_Dry_Dog_Food__All_Br.jpg,Dry Food,Dog
Acana Small Breed Adult Dry Dog Food,599.00,https://headsupfortails.com/products/acana-adult-small-breed-dog-food-available-in-multiple-sizes,https://cdn.shopify.com/s/files/1/0086/0795/7054/files/064992523602.jpg?v=1705914588,dog_food_images\Acana_Small_Breed_Adult_Dry_Dog_Food.jpg,Dry Food,Dog
Orijen Grain Free Dry Puppy Food (All Breeds),649.00,https://headsupfortails.com/products/orijen-puppy-food-available-in-multiple-sizes,https://cdn.shopify.com/s/files/1/0086/0795/7054/products/Orijen-Dry-Dog-Food---Puppy.jpg?v=1670908031,dog_food_images\Orijen_Grain_Free_Dry_Puppy_Food__All_Breeds_.jpg,Dry Food,Dog
Farmina N&D Pumpkin Lamb & Blueberry Grain Free Mini Puppy Dry Dog Food,1030.40,https://headsupfortails.com/products/farmina-n-d-pumpkin-amb-blueberry-grain-free-mini-breed-dry-puppy-food,https://cdn.shopify.com/s/files/1/0086/0795/7054/products/FarminaN_DPumpkinLamb_BlueberryGrainFreeMiniBreedDryPuppyFood-2.jpg?v=1743766517,dog_food_images\Farmina_N_D_Pumpkin_Lamb___Blueberry_Grain_Free_Mi.jpg,Dry Food,Dog
